date,sessions
2019-01-01,142
2019-01-02,214
2019-01-03,280
2019-01-04,239
2019-01-05,130
2019-01-06,187
2019-01-07,326
2019-01-08,338
2019-01-09,350
2019-01-10,382
2019-01-11,283
2019-01-12,147
2019-01-13,167
2019-01-14,358
2019-01-15,285
2019-01-16,365
2019-01-17,328
2019-01-18,255
2019-01-19,144
2019-01-20,183
2019-01-21,357
2019-01-22,313
2019-01-23,336
2019-01-24,462
2019-01-25,377
2019-01-26,238
2019-01-27,260
2019-01-28,335
2019-01-29,473
2019-01-30,461
2019-01-31,371
2019-02-01,467
2019-02-02,252
2019-02-03,268
2019-02-04,417
2019-02-05,518
2019-02-06,422
2019-02-07,467
2019-02-08,445
2019-02-09,267
2019-02-10,276
2019-02-11,405
2019-02-12,472
2019-02-13,347
2019-02-14,414
2019-02-15,346
2019-02-16,248
2019-02-17,271
2019-02-18,403
2019-02-19,369
2019-02-20,551
2019-02-21,357
2019-02-22,327
2019-02-23,196
2019-02-24,237
2019-02-25,606
2019-02-26,406
2019-02-27,457
2019-02-28,423
2019-03-01,487
2019-03-02,229
2019-03-03,276
2019-03-04,442
2019-03-05,401
2019-03-06,407
2019-03-07,402
2019-03-08,329
2019-03-09,188
2019-03-10,240
2019-03-11,341
2019-03-12,361
2019-03-13,591
2019-03-14,697
2019-03-15,461
2019-03-16,219
2019-03-17,205
2019-03-18,457
2019-03-19,453
2019-03-20,388
2019-03-21,425
2019-03-22,368
2019-03-23,225
2019-03-24,236
2019-03-25,386
2019-03-26,429
2019-03-27,439
2019-03-28,387
2019-03-29,493
2019-03-30,215
2019-03-31,198
2019-04-01,338
2019-04-02,401
2019-04-03,491
2019-04-04,413
2019-04-05,428
2019-04-06,234
2019-04-07,246
2019-04-08,382
2019-04-09,397
2019-04-10,400
2019-04-11,389
2019-04-12,298
2019-04-13,182
2019-04-14,208
2019-04-15,344
2019-04-16,336
2019-04-17,306
2019-04-18,313
2019-04-19,228
2019-04-20,148
2019-04-21,124
2019-04-22,262
2019-04-23,510
2019-04-24,618
2019-04-25,466
2019-04-26,488
2019-04-27,310
2019-04-28,300
2019-04-29,537
2019-04-30,533
2019-05-01,525
2019-05-02,450
2019-05-03,377
2019-05-04,257
2019-05-05,247
2019-05-06,388
2019-05-07,484
2019-05-08,504
2019-05-09,578
2019-05-10,464
2019-05-11,257
2019-05-12,262
2019-05-13,403
2019-05-14,452
2019-05-15,419
2019-05-16,465
2019-05-17,417
2019-05-18,359
2019-05-19,419
2019-05-20,607
2019-05-21,568
2019-05-22,525
2019-05-23,546
2019-05-24,541
2019-05-25,494
2019-05-26,300
2019-05-27,401
2019-05-28,495
2019-05-29,444
2019-05-30,421
2019-05-31,283
2019-06-01,222
2019-06-02,247
2019-06-03,402
2019-06-04,436
2019-06-05,622
2019-06-06,621
2019-06-07,529
2019-06-08,330
2019-06-09,384
2019-06-10,468
2019-06-11,542
2019-06-12,497
2019-06-13,537
2019-06-14,397
2019-06-15,329
2019-06-16,328
2019-06-17,590
2019-06-18,607
2019-06-19,523
2019-06-20,570
2019-06-21,581
2019-06-22,372
2019-06-23,398
2019-06-24,559
2019-06-25,522
2019-06-26,446
2019-06-27,437
2019-06-28,365
2019-06-29,274
2019-06-30,280
2019-07-01,616
2019-07-02,557
2019-07-03,532
2019-07-04,571
2019-07-05,500
2019-07-06,302
2019-07-07,288
2019-07-08,510
2019-07-09,541
2019-07-10,552
2019-07-11,469
2019-07-12,466
2019-07-13,346
2019-07-14,294
2019-07-15,486
2019-07-16,481
2019-07-17,524
2019-07-18,500
2019-07-19,447
2019-07-20,364
2019-07-21,306
2019-07-22,468
2019-07-23,420
2019-07-24,462
2019-07-25,404
2019-07-26,310
2019-07-27,187
2019-07-28,199
2019-07-29,308
2019-07-30,442
2019-07-31,394
2019-08-01,511
2019-08-02,438
2019-08-03,257
2019-08-04,323
2019-08-05,346
2019-08-06,437
2019-08-07,489
2019-08-08,455
2019-08-09,440
2019-08-10,253
2019-08-11,314
2019-08-12,452
2019-08-13,575
2019-08-14,514
2019-08-15,433
2019-08-16,452
2019-08-17,268
2019-08-18,318
2019-08-19,471
2019-08-20,424
2019-08-21,443
2019-08-22,477
2019-08-23,355
2019-08-24,246
2019-08-25,222
2019-08-26,439
2019-08-27,548
2019-08-28,497
2019-08-29,459
2019-08-30,398
2019-08-31,252
2019-09-01,309
2019-09-02,534
2019-09-03,582
2019-09-04,559
2019-09-05,470
2019-09-06,364
2019-09-07,257
2019-09-08,283
2019-09-09,483
2019-09-10,460
2019-09-11,568
2019-09-12,580
2019-09-13,453
2019-09-14,270
2019-09-15,303
2019-09-16,498
2019-09-17,504
2019-09-18,527
2019-09-19,561
2019-09-20,373
2019-09-21,253
2019-09-22,323
2019-09-23,489
2019-09-24,506
2019-09-25,472
2019-09-26,455
2019-09-27,392
2019-09-28,249
2019-09-29,334
2019-09-30,550
2019-10-01,609
2019-10-02,560
2019-10-03,544
2019-10-04,477
2019-10-05,325
2019-10-06,403
2019-10-07,595
2019-10-08,530
